source,target,quantile,lag_obs,lag_seconds,correlation,p_value,n_obs
price_ret,obi,Q10,-20,-10.0,-0.19288852383502608,3.2521844320894523e-40,4670
price_ret,obi,Q10,-19,-9.5,-0.19409462398071245,1.0273282525621399e-40,4670
price_ret,obi,Q10,-18,-9.0,-0.19559428228800238,2.435806067311817e-41,4670
price_ret,obi,Q10,-17,-8.5,-0.19676204423653482,7.839864519892879e-42,4670
price_ret,obi,Q10,-16,-8.0,-0.1968215279382892,7.260321561095347e-42,4670
price_ret,obi,Q10,-15,-7.5,-0.19621147186742413,1.275434552076496e-41,4670
price_ret,obi,Q10,-14,-7.0,-0.19525729667108888,3.102486941099523e-41,4670
price_ret,obi,Q10,-13,-6.5,-0.19536574113875052,2.7445242966300284e-41,4670
price_ret,obi,Q10,-12,-6.0,-0.19625777868908453,1.1500916942793252e-41,4670
price_ret,obi,Q10,-11,-5.5,-0.19634686358941228,1.0355613367601529e-41,4670
price_ret,obi,Q10,-10,-5.0,-0.1967762233003776,6.730777169475734e-42,4670
price_ret,obi,Q10,-9,-4.5,-0.19674409977108162,6.804842346255418e-42,4670
price_ret,obi,Q10,-8,-4.0,-0.1971144635376509,4.675505092791555e-42,4670
price_ret,obi,Q10,-7,-3.5,-0.1978589933077283,2.2379147975852546e-42,4670
price_ret,obi,Q10,-6,-3.0,-0.19789875220241684,2.1108682302355e-42,4670
price_ret,obi,Q10,-5,-2.5,-0.19772464585765867,2.4473924290011177e-42,4670
price_ret,obi,Q10,-4,-2.0,-0.19840071364361375,1.2480382412713938e-42,4670
price_ret,obi,Q10,-3,-1.5,-0.19859041236343095,1.0177350158478402e-42,4670
price_ret,obi,Q10,-2,-1.0,-0.1983786258962023,1.2245781660014534e-42,4670
price_ret,obi,Q10,-1,-0.5,-0.19759811944531927,2.5521522604005388e-42,4670
price_ret,obi,Q10,0,0.0,-0.19572115485161382,1.5161325365968434e-41,4670
price_ret,obi,Q10,1,0.5,-0.19393037794169302,8.477374101318263e-41,4670
price_ret,obi,Q10,2,1.0,-0.19178576267129943,6.485234134560785e-40,4670
price_ret,obi,Q10,3,1.5,-0.1888554744369091,9.978517545308344e-39,4670
